[0.000000] (-) TimerEvent: {}
[0.000480] (-) JobUnselected: {'identifier': 'blasfeo_catkin'}
[0.000623] (-) JobUnselected: {'identifier': 'g1_centroidal_mpc'}
[0.000646] (-) JobUnselected: {'identifier': 'g1_description'}
[0.000656] (-) JobUnselected: {'identifier': 'g1_wb_mpc'}
[0.000665] (-) JobUnselected: {'identifier': 'hpipm_catkin'}
[0.000672] (-) JobUnselected: {'identifier': 'humanoid_centroidal_mpc'}
[0.000679] (-) JobUnselected: {'identifier': 'humanoid_centroidal_mpc_ros2'}
[0.000686] (-) JobUnselected: {'identifier': 'humanoid_centroidal_mpc_test'}
[0.000693] (-) JobUnselected: {'identifier': 'humanoid_common_mpc'}
[0.000699] (-) JobUnselected: {'identifier': 'humanoid_common_mpc_pyutils'}
[0.000706] (-) JobUnselected: {'identifier': 'humanoid_common_mpc_ros2'}
[0.000713] (-) JobUnselected: {'identifier': 'humanoid_mpc_msgs'}
[0.000720] (-) JobUnselected: {'identifier': 'humanoid_wb_mpc'}
[0.000728] (-) JobUnselected: {'identifier': 'humanoid_wb_mpc_ros2'}
[0.000735] (-) JobUnselected: {'identifier': 'mujoco_sim_interface'}
[0.000741] (-) JobUnselected: {'identifier': 'mujoco_vendor'}
[0.000748] (-) JobUnselected: {'identifier': 'ocs2'}
[0.000754] (-) JobUnselected: {'identifier': 'ocs2_anymal'}
[0.000761] (-) JobUnselected: {'identifier': 'ocs2_anymal_commands'}
[0.000773] (-) JobUnselected: {'identifier': 'ocs2_anymal_loopshaping_mpc'}
[0.000780] (-) JobUnselected: {'identifier': 'ocs2_anymal_models'}
[0.000787] (-) JobUnselected: {'identifier': 'ocs2_anymal_mpc'}
[0.000794] (-) JobUnselected: {'identifier': 'ocs2_ballbot'}
[0.000801] (-) JobUnselected: {'identifier': 'ocs2_ballbot_mpcnet'}
[0.000807] (-) JobUnselected: {'identifier': 'ocs2_ballbot_ros'}
[0.000814] (-) JobUnselected: {'identifier': 'ocs2_centroidal_model'}
[0.000821] (-) JobUnselected: {'identifier': 'ocs2_core'}
[0.000827] (-) JobUnselected: {'identifier': 'ocs2_ddp'}
[0.000834] (-) JobUnselected: {'identifier': 'ocs2_doc'}
[0.000841] (-) JobUnselected: {'identifier': 'ocs2_double_integrator'}
[0.000848] (-) JobUnselected: {'identifier': 'ocs2_double_integrator_ros'}
[0.000854] (-) JobUnselected: {'identifier': 'ocs2_frank_wolfe'}
[0.000861] (-) JobUnselected: {'identifier': 'ocs2_ipm'}
[0.000868] (-) JobUnselected: {'identifier': 'ocs2_legged_robot'}
[0.000874] (-) JobUnselected: {'identifier': 'ocs2_legged_robot_mpcnet'}
[0.000881] (-) JobUnselected: {'identifier': 'ocs2_legged_robot_ros'}
[0.000887] (-) JobUnselected: {'identifier': 'ocs2_mpc'}
[0.000894] (-) JobUnselected: {'identifier': 'ocs2_mpcnet'}
[0.000900] (-) JobUnselected: {'identifier': 'ocs2_mpcnet_core'}
[0.000907] (-) JobUnselected: {'identifier': 'ocs2_oc'}
[0.000913] (-) JobUnselected: {'identifier': 'ocs2_perceptive'}
[0.000926] (-) JobUnselected: {'identifier': 'ocs2_pinocchio'}
[0.000932] (-) JobUnselected: {'identifier': 'ocs2_pinocchio_interface'}
[0.000939] (-) JobUnselected: {'identifier': 'ocs2_qp_solver'}
[0.000946] (-) JobUnselected: {'identifier': 'ocs2_quadruped_interface'}
[0.000952] (-) JobUnselected: {'identifier': 'ocs2_quadruped_loopshaping_interface'}
[0.000959] (-) JobUnselected: {'identifier': 'ocs2_robotic_examples'}
[0.000966] (-) JobUnselected: {'identifier': 'ocs2_robotic_tools'}
[0.000973] (-) JobUnselected: {'identifier': 'ocs2_ros2_interfaces'}
[0.000979] (-) JobUnselected: {'identifier': 'ocs2_ros2_msgs'}
[0.000986] (-) JobUnselected: {'identifier': 'ocs2_slp'}
[0.000993] (-) JobUnselected: {'identifier': 'ocs2_sqp'}
[0.000999] (-) JobUnselected: {'identifier': 'ocs2_switched_model_interface'}
[0.001006] (-) JobUnselected: {'identifier': 'ocs2_switched_model_msgs'}
[0.001013] (-) JobUnselected: {'identifier': 'ocs2_thirdparty'}
[0.001032] (-) JobUnselected: {'identifier': 'robot_core'}
[0.001094] (-) JobUnselected: {'identifier': 'robot_model'}
[0.001105] (-) JobUnselected: {'identifier': 'segmented_planes_terrain_model'}
[0.001115] (remote_control) JobQueued: {'identifier': 'remote_control', 'dependencies': OrderedDict({'humanoid_mpc_msgs': '/wb_humanoid_mpc_ws/src/wb_humanoid_mpc/install/humanoid_mpc_msgs'})}
[0.001130] (remote_control) JobStarted: {'identifier': 'remote_control'}
[0.005011] (remote_control) JobEnded: {'identifier': 'remote_control', 'rc': 1}
[0.015310] (-) EventReactorShutdown: {}
